naam;latijnse_naam;Waterbehoefte;Lichtbehoefte;Groeihoogte_cm;verkoopprijs_eur;standplaats;voorraad;bloeitijd;kleur;huisdier_vriendelijk;overview_image;additional_image1;additional_image2
Gatenplant Variegata Select;placeholder;Laag;Veel licht;126;138.0;Kamerplanten;41;Lente;Wit;Ja;dahlia_virtuoso_dayglo_yellow_mono.jpg;island_paradise-872x1200-ac7b053.jpg;
Gatenplant Variegata Beauty;placeholder;Hoog;Halfschaduw;29;142.45;Kamerplanten;27;Zomer;Wit;Nee;salvia_unplugged_white_grande.jpg;chic_boutique_0.jpg;
Gatenplant Variegata Princess;placeholder;Hoog;Schaduw;131;94.29;Kamerplanten;112;Lente;Blauw;Nee;heliotropium_aromagica_purple_tag_0.jpg;dahlia_virtuoso_classy_carmine_mono.jpg;
Gatenplant Variegata King;placeholder;Hoog;Halfschaduw;207;20.44;Tussenvariant;180;Herfst;Blauw;Ja;portulaca_mojave_mango_mono.jpg;scaevola_stardiva_blue_co-ex_grande.jpg;
Gatenplant Variegata Queen;placeholder;Hoog;Halfschaduw;42;135.96;Kamerplanten;78;Herfst;Groen;Ja;carex_graceful_grasses_toffee_twist_co-ex_grande25_0.jpg;secret_weapon.jpg;
Gatenplant Variegata Gem;placeholder;Gemiddeld;Schaduw;139;105.35;Tussenvariant;3;Zomer;Rood;Ja;cuphea_totally_tempted_watermelon_wine_tag.jpg;portulaca_mojave_mango_mono.jpg;
Gatenplant Variegata Delight;placeholder;Gemiddeld;Halfschaduw;254;151.18;Tussenvariant;165;Winter;Paars;Ja;dahlia_virtuoso_vibrant_violet_tag.jpg;salvia_unplugged_red_ecogrande.jpg;
Gatenplant Variegata Flame;placeholder;Laag;Halfschaduw;192;141.22;Kamerplanten;4;Zomer;Rood;Ja;lobelia_laguna_royale_azure_12820_tag.jpg;cayenne_pc-1133x1200-95d6dc9.jpg;
Gatenplant Variegata Mist;placeholder;Gemiddeld;Veel licht;290;121.72;Buitenplanten;195;Winter;Rood;Ja;chic_boutique_0.jpg;cuphea_totally_tempted_frosted_violet_co-ex_grande_01.jpg;
Gatenplant Variegata Pearl;placeholder;Hoog;Halfschaduw;65;54.21;Tussenvariant;108;Zomer;Rood;Ja;coleus_colorblaze_mini_me_chartreuse_ecogrande.jpg;ipomoea_sweet_caroline_medusa_black_12824_tag.jpg;
Gatenplant Variegata Glow;placeholder;Gemiddeld;Halfschaduw;262;121.79;Tussenvariant;165;Zomer;Rood;Nee;scaevola_stardiva_blue_ecogrande.jpg;heliotropium_aromagica_purple_mono_0.jpg;
Gatenplant Variegata Charm;placeholder;Laag;Schaduw;114;121.38;Buitenplanten;77;Zomer;Geel;Ja;begonia_space_age_triton_co-ex_grande.jpg;coleus_colorblaze_mini_me_chartreuse_tag.jpg;
Gatenplant Variegata Dream;placeholder;Hoog;Halfschaduw;63;76.57;Buitenplanten;82;Herfst;Roze;Nee;begonia_space_age_black_hole_macro_01.jpg;cuphea_totally_tempted_watermelon_wine_ecogrande.jpg;
Gatenplant Variegata Classic;placeholder;Gemiddeld;Veel licht;28;61.1;Tussenvariant;49;Zomer;Roze;Ja;lobelia_laguna_royale_azure_12820_tag.jpg;brushstrokes.jpg;
Gatenplant Variegata Royal;placeholder;Laag;Schaduw;164;138.99;Kamerplanten;106;Lente;Geel;Nee;scaevola_stardiva_white_mono.jpg;coleus_colorblaze_mini_me_chartreuse_tag_0.jpg;dahlia_virtuoso_pinkerific_tag.jpg
Gatenplant Variegata Sunrise;placeholder;Gemiddeld;Halfschaduw;64;132.16;Kamerplanten;191;Lente;Oranje;Ja;scaevola_stardiva_pink_mono.jpg;lobelia_laguna_royale_azure_12820_mono.jpg;dahlia_virtuoso_dayglo_yellow_ecogrande.jpg
Gatenplant Variegata Sunset;placeholder;Laag;Halfschaduw;231;177.03;Buitenplanten;27;Zomer;Roze;Ja;carex_graceful_grasses_toffee_twist_tag_25.jpg;carex_graceful_grasses_toffee_twist_tag_25.jpg;portulaca_mojave_fuchsia_co-ex_grande_25.jpg
Gatenplant Variegata Snow;placeholder;Laag;Halfschaduw;70;150.67;Buitenplanten;14;Lente;Blauw;Nee;carex_graceful_grasses_toffee_twist_ecogrande25.jpg;cuphea_totally_tempted_frosted_violet_mono_0.jpg;ipomoea_upside_key_lime_newtagimage.png
Gatenplant Variegata Emerald;placeholder;Laag;Schaduw;272;101.49;Buitenplanten;148;Herfst;Paars;Nee;carex_graceful_grasses_toffee_twist_tag_25.jpg;begonia_space_age_triton_mono.jpg;hearth_and_home.jpg
Gatenplant Variegata Ruby;placeholder;Laag;Veel licht;186;17.59;Tussenvariant;157;Jaarrond;Wit;Ja;supertunia_vista_cool_jazz_12821_mono.jpg;capri_berry-1200x983-1a8c6ff.jpg;
Gatenplant Variegata Sapphire;placeholder;Laag;Schaduw;219;72.34;Tussenvariant;99;Jaarrond;Blauw;Nee;capri_berry-1200x983-1a8c6ff.jpg;cuphea_totally_tempted_frosted_violet_mono_0.jpg;
Gatenplant Variegata Moon;placeholder;Laag;Veel licht;75;19.72;Tussenvariant;157;Lente;Oranje;Ja;begonia_space_age_triton_macro_03.jpg;scaevola_stardiva_pink_mono.jpg;
Gatenplant Variegata Spirit;placeholder;Gemiddeld;Halfschaduw;293;52.13;Kamerplanten;121;Winter;Groen;Ja;agastache_maestro_coral_mono.jpg;portulaca_mojave_fuchsia_co-ex_grande_25.jpg;
Gatenplant Variegata Grace;placeholder;Gemiddeld;Halfschaduw;63;64.06;Buitenplanten;184;Jaarrond;Geel;Ja;only_vogue.jpg;quaint_cottage.jpg;
Gatenplant Variegata Harmony;placeholder;Laag;Schaduw;191;135.38;Kamerplanten;124;Lente;Geel;Ja;agastache_maestro_coral_tag.jpg;begonia_space_age_triton_tag.jpg;
Gatenplant Variegata Wonder;placeholder;Laag;Halfschaduw;178;91.69;Buitenplanten;64;Zomer;Paars;Nee;coleus_colorblaze_mini_me_chartreuse_ecogrande.jpg;supertunia_vista_cool_jazz_12821_tag.jpg;
Gatenplant Variegata Magic;placeholder;Hoog;Veel licht;233;131.32;Kamerplanten;151;Jaarrond;Roze;Ja;capri_berry-1200x983-1a8c6ff.jpg;nemesia_bluebird_mono.jpg;
Gatenplant Variegata Velour;placeholder;Gemiddeld;Veel licht;292;100.81;Tussenvariant;166;Winter;Paars;Ja;portulaca_mojave_mango_mono.jpg;ipomoea_upside_black_coffee_newtagimage.png;
Gatenplant Variegata Crown;placeholder;Laag;Halfschaduw;103;189.34;Tussenvariant;147;Zomer;Roze;Ja;supertunia_blue_tiara_macro_02.jpg;supertunia_mini_vista_pink_cloud_12822_tag.jpg;
Gatenplant Variegata Bloom;placeholder;Laag;Veel licht;16;142.79;Buitenplanten;190;Winter;Rood;Nee;berry_express.jpg;carex_graceful_grasses_toffee_twist_tag_25.jpg;
Gatenplant Variegata Blush;placeholder;Gemiddeld;Veel licht;281;160.46;Tussenvariant;105;Jaarrond;Wit;Ja;yard_makeover_121-600x400-d9c3bb2.jpg;begonia_space_age_triton_mono.jpg;
Gatenplant Variegata Forest;placeholder;Gemiddeld;Veel licht;36;36.3;Kamerplanten;5;Winter;Paars;Ja;love_bug.jpg;dahlia_virtuoso_vibrant_violet_mono.jpg;
